url,test cases?, # of stars
,,
github.com/MatrixAINetwork/SMARTCONTRACT,no,194star
,,
github.com/Etheremon/smartcontract,no,73star
,,
github.com/suntechsoft/dmarket-smartcontract,no,88star
,,
github.com/syncfab/smartcontract,yes,32star
,,
github.com/cryptotwenty/smartcontracts,no,43star
,,
github.com/blackmoonfg/bmc-contract,yes,27star
,,
github.com/CanYaCoinSale/SmartContract,no,12star
,,
github.com/thebeetoken/smartcontracts,yes,22star
,,
github.com/pitoukhmer/SmartContracts,yes,0star
,,
github.com/bitpopulous/populous-smartcontracts,yes,29star
,,
github.com/CoinOffering/smartcontract,no,17star
,,
github.com/BunnyToken/smartcontracts,no,8star
,,
github.com/streamity/stm-smartcontract,yes,12star
,,
github.com/dimensionofficial/Dimension.contracts-ARC,yes,9star
,,
github.com/ETHLend/ICO_SmartContract,yes,14star
,,
github.com/CRYCASH/crycash-smartcontract,no,10star
,,
github.com/tokiateam/SmartContract,yes,6star
,,
github.com/fishbank-io/smartcontracts,no,7star
,,
github.com/ahoolee/smartcontracts,no,9star
,,
github.com/CoinPokerOfficial/ico-smartcontracts,yes,9star
,,
github.com/modum-io/tokenapp-smartcontract,yes,12star
,,
github.com/SCbuergel/timeLock-smartContract,no,17star
,,
github.com/shiki-tak/CryptoKitties_SmartContract,no,3star
,,
github.com/ChainusProject/SmartContract,no,5star
,,
github.com/GX-Coin/SmartContract,yes,9star
,,
github.com/phenom-company/smartcontract-cryptoindex,yes,10star
,,
github.com/senacor/SmartContractSlackDapp,yes,8star
,,
github.com/Ethearnal/SmartContracts,yes,3star
,,
github.com/CIChain/SmartContracts,yes,7star
,,
github.com/stormxio/crowdsale,yes,11star
,,
github.com/letbetcoin/game-smartcontracts,no,3star
,,
github.com/coinfi/smartcontract,no,6star
,,
github.com/OwnMarket/SmartContracts,yes,9star
,,
github.com/Cryptobnb/Smartcontracts,yes,4star
,,
github.com/binance-chain/bep3-smartcontracts,yes,3star
,,
github.com/silverSurfer0/Ethereum,no,1star
,,
github.com/RadioYoFM/ICO_smartcontract,yes,16star
,,
github.com/FriendsFingers/friendsfingers-smartcontracts,yes,5star
,,
github.com/BrightID/BrightID-SmartContract,yes,7star
,,
github.com/oysterprotocol/smartcontract,yes,2star
,,
github.com/smartift/smartift-contract,no,11star
,,
github.com/akozlov-dogezer/smartContract,no,5star
,,
github.com/obo20/ETHBerlin-Pinata-SmartContracts,no,6star
,,
github.com/MentatHQ/SmartContract,yes,2star
,,
github.com/SunContract/SmartContracts,no,10star
,,
github.com/VinChain/smartcontract,yes,4star
,,
github.com/robotveradev/SmartContracts,yes,5star
,,
github.com/BerkeleyBlockChain/AuctionPlatform,yes,14star
,,
github.com/ethblue/SmartContract,yes,3star
,,
github.com/LandLayby/SmartContract,no,14star
,,
github.com/DAISEE/SmartContract,no,1star
,,
github.com/thetripio/trio,yes,6star
,,
github.com/iden3/contracts,yes,6star
,,
github.com/HaithemKahil/FoodSurety_SmartContracts,no,2star
,,
github.com/easyMINE/SmartContracts,yes,4star
,,
github.com/phenom-company/ico-smartcontract-aida,yes,0star
,,
github.com/PARKGENE/ERC20-SmartContract,no,1star
,,
github.com/SingularDTV/snglsDAO-smartcontracts,yes,2star
,,
github.com/dovuthanh/spxtrum-smartcontract,yes,1star
,,
github.com/cashpokerpro-dev/cash-smartcontracts,yes,11star
,,
github.com/phenom-company/ico-smartcontract-appics,yes,1star
,,
github.com/eiracubeico/smartcontract,no,0star
,,
github.com/Smarttroulette/SmartContract,no,5star
,,
github.com/Elonsoft/sofin,yes,4star
,,
github.com/jackhex2x/hex2x-smartcontracts,yes,2star
,,
github.com/XredFoundation/smartcontracts,yes,0star
,,
github.com/Varanida/GDPR-smartcontract,yes,6star
,,
github.com/GBPTOKEN/SmartContract,no,4star
,,
github.com/truelibra/SmartContracts,yes,3star
,,
github.com/Zolmeister/deckcoin-smartcontract,yes,6star
,,
github.com/TrueCLP/Smartcontract,yes,2star
,,
